"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size energypercapita x abundance"
"03/01/2023 10:05:55:033 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"11","200000","1","false","1500","5","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.333333333333334","2.3333333333333335","1","3.4727558139534893","1.8295422011455524","8258.844502312366","0.23918023255813953","0.026591821523491082","15.704095344093817"
"13","200000","1","false","1500","5","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","20","32","1","3.533593023255814","1.9638327572360441","7847.587108306254","0.2262732558139535","0.019900873949759944","19.284159378794445"
"15","200000","1","false","1500","5","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.75","18.25","0.875","3.5169767441860458","2.0309934683699598","7779.657953510394","0.23259302325581394","0.011512473208161862","11.377414918743188"
"16","200000","1","false","1500","5","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","18","242","1","3.34624031007752","1.5008112661215622","9817.298697681328","0.265891472868217","0.024433000161941783","35.10242872834837"
"12","200000","1","false","1500","5","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","20","0","1","3.351302325581396","1.5754005040600456","9298.232220774966","0.26225","0.015772661608367624","34.31356048962863"
"14","200000","1","false","1500","5","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.333333333333334","32.333333333333336","1","3.2896627906976748","1.4116833562211735","10110.974457997212","0.27541279069767444","0.021996058920610427","58.2784988122088"
"8","200000","1","false","1500","5","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","10.5","39","0.9545454545454546","3.148742071881607","1.2938995831305538","10747.867514610614","0.29640063424947144","0.029778337970756952","8.222963034797077"
"6","200000","1","false","1500","5","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","5.857142857142857","19.47619047619047","0.9318181818181818","3.2628858350951364","1.433942623412156","9900.864241583842","0.2779334038054968","0.015799173252587603","34.685428822655965"
"9","200000","1","false","1500","5","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","22","392","1","3.3125898520084562","1.4405892946197976","10014.969375166587","0.2718868921775898","0.01784532243733633","33.428785046710416"
"10","200000","1","false","1500","5","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","14.666666666666666","37.33333333333333","1","3.155692389006342","1.2655925887087525","11340.98231807934","0.3028911205073996","0.031942514944974444","9.357731695481652"
"7","200000","1","false","1500","5","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","22","450","1","3.1804122621564486","1.2741788565201961","10837.939486520721","0.2971405919661734","0.017545572916666665","58.58734654653854"
"3","200000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","16.666666666666668","44.333333333333336","1","3.0326883720930233","1.1169603958210883","11808.601143305974","0.3235209302325582","0.036916901577503415","9.985903216960875"
"4","200000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","12","18","0.48","3.0410511627906978","1.0973254398757195","12006.574561669344","0.3271162790697674","0.018423808299039782","52.851551055113646"
"2","200000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","25","648","1","2.951483720930233","1.0038316496661595","12723.225772719346","0.34325581395348836","0.04124798568244171","63.002601767966546"
"1","200000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","14","18","0.56","3.0218279069767435","1.0736184100778705","12388.944323819533","0.3333953488372093","0.029970608281893005","48.92485502806631"
"5","200000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","5.142857142857143","11.809523809523808","0.72","2.9765627906976744","1.0077167948082966","12917.410962251444","0.34650697674418607","0.03834529578189299","13.062868707146235"
"18","200000","1","false","1500","5","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","18","72","1","3.4715891472868226","1.8862927292473755","7998.677488328519","0.22859173126614987","0.00925709031111873","30.5718407313394"
"17","200000","1","false","1500","5","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","18","242","1","3.4295090439276485","1.6991277370079578","8847.467229743743","0.24696382428940566","0.016268879910646246","24.43306151184138"
"22","200000","1","false","1500","5","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","16.5","220.5","1","3.6683791402396055","2.2572017679579828","7117.437829835371","0.20184637068358","0.008668069584736251","16.77961903243369"
"26","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","31","0","1","3.591627906976745","2.111504122349242","7432.120165508161","0.21469617404351088","0.012589190202000087","40.777993541073904"
"19","200000","1","false","1500","5","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","7.25","12.916666666666666","0.8055555555555556","3.4071253229974174","1.532070381562245","9713.09470257759","0.2567894056847545","0.020937319601623226","17.074608574797615"
"21","200000","1","false","1500","5","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11","25","1","3.3602536997885837","1.5226945283803965","9670.098950610922","0.26398872445384075","0.02578936484183398","20.834335528981182"
"20","200000","1","false","1500","5","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","12","28","1","3.478139534883721","1.6615971860299361","9086.801826442805","0.2419250645994832","0.026957415861720777","14.520180412221409"
"25","200000","1","false","1500","5","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","16.5","12.5","1","3.550965468639886","1.8997954618149238","8137.194400645432","0.221430584918957","0.013719501470465974","34.40319966854"
"24","200000","1","false","1500","5","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","33","0","1","3.3785835095137426","1.6507623999184393","8887.048295674564","0.2529105003523608","0.018010257539385625","30.626767698802077"
"23","200000","1","false","1500","5","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","16.5","144.5","1","3.3968076109936565","1.4349978194496282","10399.599863352636","0.2673784355179704","0.015240067210167517","65.1699576765907"
"28","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","15.5","12.5","1","3.5573593398349592","1.9387928007174327","8136.935140049025","0.22547636909227306","0.01052539105712642","46.60577705552684"
"29","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","10.333333333333334","26.333333333333332","1","3.6348387096774197","2.2999683373748883","6931.22949803748","0.21001500375093773","0.015243124695782997","17.444401725294384"
"27","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","10.333333333333334","8.333333333333332","1","3.416849212303075","1.4985081449111046","9936.454897332846","0.25827456864216053","0.009840730646267535","11.657472003720622"
"30","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","31","0","1","3.4962340585146285","1.6559570692207786","9197.86992575561","0.2434133533383346","0.020666712299216777","66.56420765762947"
"31","200000","1","false","1500","5","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","29","0","1","3.2826303127506016","1.2907578445528198","11040.713372163214","0.2803207698476343","0.014478556182299795","48.23242959137318"
"34","200000","1","false","1500","5","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","29","0","1","3.5042822774659177","1.8085638624377192","8427.394535858644","0.23098636728147556","0.019198300990965426","100.77531147690425"
"36","200000","1","false","1500","5","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.5","0.5","1","3.584883720930232","2.003249034612347","7780.134496808699","0.22228251507321273","0.02223958889015902","16.313318798225332"
"32","200000","1","false","1500","5","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","14.5","4.5","1","3.307995188452286","1.2835646475283302","11242.60670321271","0.2823897353648757","0.008144790484130363","25.31295864594479"
"35","200000","1","false","1500","5","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","14.5","24.5","1","3.573119486768244","1.9083687371163103","8117.169914165921","0.22161988773055333","0.01520066458540277","19.479427937430938"
"37","200000","1","false","1500","5","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","27","0","1","3.5201033591731266","1.8352511677520047","8309.75775423921","0.22957795004306633","0.01679528257252451","58.007831857194425"
"33","200000","1","false","1500","5","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","29","0","1","3.353777064955895","1.4349271396454826","10977.291639260602","0.27700080192461907","0.015518502997729526","53.578535825715804"
"39","200000","1","false","1500","5","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.5","112.5","1","3.6052454780361756","2.7952899524385257","8820.2710760455","0.22316968130921622","0.011428635275364528","25.26531900575035"
"40","200000","1","false","1500","5","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11","8","0.8148148148148148","3.450327304048235","1.6938858183464403","8837.29157213672","0.24659776055124893","0.00859563455774018","34.05760194549259"
"38","200000","1","false","1500","5","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.5","60.5","1","3.429190353143841","1.4803044014805113","10026.166817613632","0.2536520241171404","0.009033000400091449","50.941968337253954"
"42","200000","1","false","1500","5","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","12.5","24.5","1","3.4429116279069762","1.5432804530114739","9723.045847931016","0.25083720930232556","0.013919778806584357","51.713878771041784"
"44","200000","1","false","1500","5","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.333333333333334","10.333333333333332","1","3.534762790697674","1.6630473994201322","9262.612737461573","0.2348","0.010228917181069958","18.59478648540442"
