"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size extraction rate mean x clump size"
"02/22/2023 12:09:44:400 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"10","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","451","4300","23","198","1","1.5445728008088981","2.735798166431245","2635.2855588413654","0.06900657229524772","0.004438884555600286","48.10534231071829"
"9","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","401","4300","23","416.6666666666667","1","1.5367770475227511","2.6973133459968324","3072.565000305743","0.08083923154701719","0.0043639107417099065","44.17436553770203"
"7","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","301","4300","18.4","113.3","1","1.5032280080889788","2.007959422652495","3674.1913291374226","0.09068250758341759","0.005516836224056181","38.81522805488608"
"8","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","351","4300","18.4","188.3","1","1.5112866531850355","2.1169469623233064","3635.3382920717445","0.09269211324570273","0.004556153595977217","42.96183451858591"
"11","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","501","4300","18.4","143.8","1","1.5198710819009102","1.9817481126472838","3562.2896549780094","0.08751769464105157","0.004279926716168663","45.23638939231823"
"5","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","8.5","32.94444444444444","0.9239130434782609","1.493319009100101","1.6091691220986721","4378.686304161727","0.10597573306370071","0.00451269094426552","42.08429147755645"
"6","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","11.428571428571429","81.6190476190476","0.8695652173913043","1.4344211324570275","1.2076461742254543","5508.921723900946","0.13311172901921134","0.004003193121160614","34.85638233658931"
"4","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","10","15.75","0.9782608695652174","1.4120551061678466","1.0439122340286218","6154.464969506733","0.1469489383215369","0.005064811087254728","26.129603775233022"
"3","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","9.125","18.696428571428573","0.7934782608695652","1.4031117290192123","0.9566714951379156","6732.129253931201","0.16103387259858443","0.004884235729036201","24.75697595797252"
"16","600000","1","false","1500","3","6500","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","11.125","48.982142857142854","0.967391304347826","2.105037917087968","1.3134149337471437","7296.757835477341","0.17703993933265924","0.009142455464975847","39.0866413333866"
