"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size p1-2 clump 63"
"03/02/2023 10:45:40:075 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"11","200000","1","false","1000","5","4000","5","21","70","130","10","false","false","3","50","10","1","true","63","4300","10","46","1","3.385576744186046","1.8015953619364606","8256.987534699188","0.24997209302325585","0.014251485768175576","57.4416992751102"
"16","200000","1","false","1000","5","4000","5","31","70","130","10","false","false","3","50","10","1","true","63","4300","16.666666666666668","192.33333333333334","1","3.447404651162791","1.856635007166139","8199.490640336975","0.24109302325581397","0.014972819787379976","62.68426230029948"
"12","200000","1","false","1000","5","4000","5","21","70","130","10","false","false","5","50","10","1","true","63","4300","6.166666666666667","18.96666666666667","0.74","3.243586046511629","1.308406985486471","10835.900937867784","0.2937953488372093","0.014222228652263375","34.97909109668594"
"7","200000","1","false","1000","5","4000","5","11","70","130","10","false","false","5","50","10","1","true","63","4300","8.333333333333334","27.866666666666674","1","3.243553488372093","1.1991680837192769","11927.540631109023","0.2984325581395349","0.015347703617969822","54.789034507126836"
"6","200000","1","false","1000","5","4000","5","11","70","130","10","false","false","3","50","10","1","true","63","4300","8.4","58.3","0.84","3.144520930232558","1.1213357569911109","12182.137686752301","0.32231162790697676","0.016800199331275717","54.792065155023955"
"13","200000","1","false","1000","5","4000","5","21","70","130","10","false","false","7","50","10","1","true","63","4300","12.5","20.333333333333332","1","2.907493023255814","0.8572766480303876","14727.473592535884","0.3643813953488372","0.011957764917695467","27.84779866616771"
"10","200000","1","false","1000","5","4000","5","11","70","130","10","false","false","11","50","10","1","true","63","4300","8.166666666666666","20.166666666666668","0.98","2.7590697674418605","0.7105355717682437","16946.77681796589","0.4063953488372093","0.015066989883401922","7.288624930876315"
"8","200000","1","false","1000","5","4000","5","11","70","130","10","false","false","7","50","10","1","true","63","4300","9.8","15.2","0.98","2.8062511627906974","0.7477146002463306","16428.99097176718","0.39633023255813954","0.015318994341563787","16.042257807521622"
"14","200000","1","false","1000","5","4000","5","21","70","130","10","false","false","9","50","10","1","true","63","4300","8","46","0.64","2.8295581395348837","0.7791332648154","15790.904903213703","0.3917906976744186","0.020662593021262006","61.91091586310149"
"9","200000","1","false","1000","5","4000","5","11","70","130","10","false","false","9","50","10","1","true","63","4300","8.333333333333334","19.06666666666667","1","2.7177348837209303","0.6722847060429396","17601.463303562658","0.41630697674418604","0.021402834790809323","10.929484230826827"
