"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size p1-2 p1-3 2nd attempt"
"02/14/2023 11:35:22:794 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"15","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","7","50","10","1","true","501","4300","12.5","45.666666666666664","1","3.375046511627908","1.512073485354099","12041.147832779745","0.2791581395348837","0.10413495456104255","7.416819916596651"
"14","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","7","50","10","1","true","376","4300","10","14","1","3.451353488372094","1.5916618963923637","11134.198891857275","0.25832558139534884","0.06855735896776405","6.24260676646751"
"10","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","5","50","10","1","true","501","4300","10","26","1","3.308162790697674","1.4178604128997485","12592.763633179164","0.2921255813953489","0.07356809799382714","12.781896501795028"
"5","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","3","50","10","1","true","501","4300","6.333333333333333","13.066666666666668","0.76","3.2385953488372086","1.4592700991960308","13100.123585621297","0.3044604651162791","0.19627243355624138","19.810353783178595"
"3","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","3","50","10","1","true","251","4300","6","41.2","0.72","2.832967441860465","0.9163716014875531","16887.942041935115","0.39253953488372095","0.1625831888717421","6.92009855608783"
"9","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","5","50","10","1","true","376","4300","8","50.8","0.96","2.745120930232558","0.7730940594061447","17872.913919443872","0.4152697674418605","0.21557431670096025","7.396359884512438"
"4","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","3","50","10","1","true","376","4300","7","20.666666666666668","0.98","2.5077581395348836","0.632102378877015","20162.007328333297","0.46884651162790697","0.09928296382030177","59.71409084255844"
"7","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","5","50","10","1","true","126","4300","7.333333333333333","3.4666666666666663","0.88","2.5584325581395353","0.6383981023997092","19553.797916892156","0.4546279069767442","0.08646345293209876","5.686863286081345"
"13","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","7","50","10","1","true","251","4300","6.428571428571429","26.952380952380953","0.9","2.290586046511628","0.8343713394450348","21971.039030913682","0.5105999999999999","0.08858464163237313","16.447696542872656"
"2","200000","1","false","1000","5","4000","5","1","70","130","10","false","false","3","50","10","1","true","126","4300","4.8","4.622222222222222","0.96","2.1489348837209308","0.4512202266129708","23174.802165670866","0.5391627906976745","0.13098634516460905","32.47100051351579"
