"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size target distance x extraction rate mean"
"02/22/2023 16:26:06:571 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"10","600000","1","false","1500","2","6500","5","37","70","87","10","false","false","7","50","10","1","true","250","4300","9.2","28.84444444444445","1","1.525303336703741","2.37290390146865","3044.373301344839","0.07800050556117291","0.005006388572046281","40.17796448133138"
"11","600000","1","false","1500","2","6500","5","41","70","87","10","false","false","7","50","10","1","true","250","4300","7.111111111111111","27.861111111111114","0.6956521739130435","1.5329802831142567","2.305475093332227","3140.519083372185","0.08088978766430738","0.0052245608002326","48.741525903736466"
"9","600000","1","false","1500","2","6500","5","33","70","87","10","false","false","7","50","10","1","true","250","4300","9.714285714285714","39.238095238095234","0.7391304347826086","1.494896359959555","1.7767760636556122","3950.755737989106","0.09783114256825076","0.004283304351553646","50.22545297486254"
"8","600000","1","false","1500","2","6500","5","29","70","87","10","false","false","7","50","10","1","true","250","4300","8.4","29.15555555555555","0.9130434782608695","1.4885920121334681","1.7040674410673882","4115.651754844314","0.10090495449949444","0.004792507930384088","47.23974379763738"
"3","600000","1","false","1500","2","6500","5","9","70","87","10","false","false","7","50","10","1","true","250","4300","15.333333333333334","121.06666666666665","1","1.476655712841254","1.1938227944457582","5723.15258308352","0.13313953488372093","0.004183950663878453","56.885540797317994"
"2","600000","1","false","1500","2","6500","5","5","70","87","10","false","false","7","50","10","1","true","250","4300","16.8","244.7","0.9130434782608695","1.4403336703741152","1.2231915453114102","6003.965127793412","0.13880434782608694","0.0064715780532444665","30.25068912594667"
"7","600000","1","false","1500","2","6500","5","25","70","87","10","false","false","7","50","10","1","true","250","4300","11.5","44.57142857142857","1","1.4492593528816986","1.2330459513502037","5475.299237086357","0.13240394337714864","0.004354072778746945","47.99745278126305"
"6","600000","1","false","1500","2","6500","5","21","70","87","10","false","false","7","50","10","1","true","250","4300","9.375","12.839285714285714","0.8152173913043478","1.4531041456016187","1.2374971667983836","5591.211378164876","0.13517947421638019","0.004576209500059644","23.786148346648442"
"5","600000","1","false","1500","2","6500","5","17","70","87","10","false","false","7","50","10","1","true","250","4300","13","63","0.9891304347826086","1.4390546006066736","1.2731135540441156","5366.944237175542","0.13068503538928208","0.006705112488444564","30.390447095245634"
"16","600000","1","false","1500","3","6500","5","17","70","87","10","false","false","7","50","10","1","true","250","4300","10.25","50.214285714285715","0.8913043478260869","2.1475227502527807","1.3966321613098875","6800.883810019428","0.16511880687563193","0.007283719275585968","40.371284994317"
"4","600000","1","false","1500","2","6500","5","13","70","87","10","false","false","7","50","10","1","true","250","4300","15.333333333333334","64.66666666666667","1","1.4142087967644084","1.051078984063192","6235.1574212889345","0.1472598584428716","0.004460242077071032","37.88770675815314"
