"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size clump x speed"
"02/10/2023 18:39:46:414 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"10","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","451","4300","8.333333333333334","45.75000000000001","0.8152173913043478","3.6544287158746203","1.9358690978872877","8209.656529633276","0.20932002022244692","0.012126024846051768","55.20853469064189"
"11","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","501","4300","13.142857142857142","248.4761904761905","1","3.644105156723964","1.9363016366198498","8179.565806904476","0.21030839231547016","0.012849205051216684","53.26518894128413"
"9","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","401","4300","15.166666666666666","58.16666666666667","0.9891304347826086","3.625171890798785","1.8355035024798831","8632.056145704739","0.21772750252780587","0.012069119680771756","30.22836101268293"
"7","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","301","4300","8","12","0.9565217391304348","3.5374266936299295","1.669418480680203","9247.7584104816","0.23529828109201212","0.011435690968494665","14.406970615947653"
"6","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","7.7","38.67777777777778","0.8369565217391305","3.5189079878665317","1.5506345310037857","9854.775045793578","0.24117795753286145","0.012408485371190431","67.02965918804237"
"8","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","351","4300","8.5","30.944444444444443","0.9239130434782609","3.575578867542973","1.6410164349540435","9428.965821196769","0.23240394337714865","0.01146866845962307","56.95209054260854"
"5","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","6.214285714285714","8.181318681318682","0.9456521739130435","3.4120601617795754","1.3680793416828194","10821.08133545271","0.26443882709807887","0.01246255013568319","23.764754630526213"
"16","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","12","1","true","201","4300","7.7272727272727275","26.818181818181824","0.9239130434782609","3.4044792719919115","1.1520977928602658","12873.832618229555","0.265783619817998","0.011783664992992191","57.17099433888855"
"4","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","11.25","132.78571428571428","0.9782608695652174","3.3101567239636","1.2154391062571914","11812.244809532478","0.2856370070778564","0.011880742073343473","72.86109522095039"
"15","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","12","1","true","151","4300","4.333333333333333","9.238095238095239","0.7065217391304348","3.2687917087967633","0.9743089053248544","14518.001026505623","0.2939762386248736","0.008560379251282285","67.41358641140855"
