"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size clumpsize x abundance"
"03/05/2023 16:10:10:653 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"16","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","7.75","26.25","1","3.1371417854463615","1.1255026598620101","12062.07086233111","0.31371342835708926","0.012492501050931457","24.08739804073725"
"11","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","15.5","0.5","1","3.055701425356339","0.9748007142199788","13693.563267390968","0.3385596399099775","0.013545612499446875","33.69844240834948"
"15","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","7.666666666666667","9.333333333333332","0.7419354838709677","2.9582145536384092","0.89956654443211","14291.229562575121","0.3557764441110277","0.013233289498429137","29.42657784241852"
"12","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","15.5","112.5","1","2.858132033008252","0.8601640497198616","14426.092446442759","0.3690172543135784","0.0210273795300677","35.92138240476062"
"14","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","5.6","12.3","0.9032258064516129","3.017426856714178","0.9369487577159833","13993.751015395814","0.3437659414853714","0.01217587960197354","15.102456130646575"
"13","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","7.5","17","0.967741935483871","2.9346436609152287","0.8856356785536965","14442.355634700005","0.3607051762940735","0.015026461347847249","18.549606728489046"
"8","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","10","12","0.967741935483871","2.752415603900975","0.7173387901617134","16613.871775297343","0.4046736684171043","0.014565742676667107","18.849209184171855"
"7","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","10.333333333333334","54.33333333333334","1","2.620232558139535","0.655984441155908","17349.60623349021","0.4285596399099775","0.009675205484755965","20.646309822221458"
"6","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","8","3","0.7741935483870968","2.70264816204051","0.6991606600469465","16779.387976420923","0.41087771942985746","0.009054591049382714","11.752016778857225"
"10","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","6.666666666666667","5.333333333333333","0.6451612903225806","2.5742235558889726","0.6233330091031212","17886.296643750367","0.4366616654163541","0.007667804023408114","27.04269285730856"
