"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size clumpsize x energypercapita"
"03/05/2023 11:11:15:185 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"16","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","7.833333333333333","94.61764705882354","0.94","2.72766046511628","0.7321245142442201","16128.525177178562","0.40153643410852713","0.0544005278349337","64.10246883351043"
"15","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","4.56","25.923333333333336","0.76","2.642040310077519","0.6812837308493885","16776.884267634323","0.4192852713178295","0.039855657435985375","63.041232218143755"
"9","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","2.772727272727273","1.6125541125541123","0.4066666666666667","2.629454263565892","0.6980513866832369","16310.287139708571","0.41914263565891474","0.023505513545953358","86.7648684915774"
"13","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","3.161290322580645","1.8064516129032253","0.6533333333333333","2.622282170542636","0.6738089766582195","16880.02329449054","0.42102635658914733","0.03720701560356653","75.40605045871337"
"10","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","2.6785714285714284","1.7076719576719581","0.5","2.5776248062015497","0.6676339987972315","16728.524355041467","0.42483875968992246","0.023385456961591243","95.24307888054337"
"11","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","9.133333333333333","104.98095238095239","0.9133333333333333","2.6192418604651153","0.6628250828839761","17118.166412292667","0.4244790697674419","0.0533056294295839","78.16531878081622"
"7","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","2.391304347826087","0.7035573122529649","0.36666666666666664","2.617888372093023","0.6798661065703722","16645.827161642606","0.42353798449612406","0.01995960933927755","101.73816953763041"
"6","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","3.84","5.556666666666666","0.64","2.5743162790697687","0.6567570425197963","16999.39027838652","0.4298201550387597","0.020848530092592594","72.06110356510166"
"8","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","51","4300","3.4615384615384617","2.4184615384615378","0.6","2.5797875968992257","0.6603397220019848","16978.874243932238","0.4283255813953488","0.021906933727709195","77.57768397058561"
"12","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","8.2","53.45714285714285","0.82","2.6708790697674423","0.6955581765375798","16629.98511394116","0.4121658914728682","0.039562678326474636","59.81308762864923"
"14","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","101","4300","6","17.6","0.84","2.637928682170544","0.6707395979750798","17036.890303888507","0.4219798449612403","0.033557857081618646","66.84514154331491"
"1","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","1","4300","2.3529411764705883","1.1176470588235292","0.26666666666666666","2.380626356589147","0.5908217724462268","17516.366307970795","0.4616170542635659","0.01213134059213535","73.30673457402723"
"3","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","1","4300","2.4375","0.5291666666666667","0.26","2.3769147286821717","0.5863362309160324","17666.779791063338","0.4625193798449612","0.011501275577274804","93.51045486965128"
"2","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","1","4300","2.7142857142857144","1.2142857142857142","0.38","2.3508682170542636","0.5739067674024076","17814.58702898811","0.4676139534883721","0.011866900720164603","98.53614874370435"
"5","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","1","4300","2.235294117647059","0.19117647058823525","0.25333333333333335","2.358435658914728","0.5744666296769302","17844.45251707245","0.46741550387596903","0.011229938557384545","108.71264951887473"
"4","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","1","4300","3.45","6.365789473684213","0.46","2.331004651162791","0.5593774449275712","18150.91299801561","0.4719472868217054","0.012582268804298127","91.69852853682423"
"18","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","9.733333333333333","92.92380952380952","0.9733333333333334","2.681568992248062","0.697054908189081","16661.471749282282","0.4138666666666667","0.06671468950045728","72.68650612831267"
"17","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","8.933333333333334","80.78095238095239","0.8933333333333333","2.7096573643410866","0.7177571793686427","16337.1318210994","0.4062558139534884","0.04750548596822129","54.45917696975725"
"21","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","5.894736842105263","12.65497076023392","0.7466666666666667","2.6556201550387604","0.6781311350320245","16924.666276891276","0.41924961240310077","0.07812568187014177","63.32943604130894"
"24","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","8.176470588235293","43.40441176470588","0.9266666666666666","2.7805286821705417","0.774173419370065","15586.558650981064","0.3888713178294574","0.04792390517832645","50.11456143427397"
"25","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","9.466666666666667","111.6952380952381","0.9466666666666667","2.7431503875969","0.7393299296332697","16060.12542247289","0.39988217054263564","0.06713441758116144","93.4549559089378"
"23","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","12.083333333333334","129.90151515151513","0.9666666666666667","2.7633984496124024","0.7752215396387644","15430.281179356529","0.38944186046511625","0.05113876185985369","32.268973766133946"
"20","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","5.947368421052632","13.94152046783626","0.7533333333333333","2.669539534883722","0.690482611888635","16745.142237526405","0.4151720930232558","0.05154179312414264","59.045040699949354"
"19","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","5.208333333333333","15.302536231884057","0.8333333333333334","2.642869767441861","0.6740530679280476","16964.27228238201","0.4196263565891473","0.05464857124485596","73.08561760218866"
"22","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","10.666666666666666","134.0606060606061","0.8533333333333334","2.6790170542635643","0.6959722829341977","16649.205668844737","0.41304186046511626","0.061708651977594876","85.95322256633003"
"28","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","7.611111111111111","51.781045751633975","0.9133333333333333","2.7757581395348825","0.7619803525268243","15773.282194964582","0.3934728682170543","0.06530887088477368","50.27774954548641"
"26","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","12.636363636363637","264.45454545454544","0.9266666666666666","2.580139534883721","0.6382060156550189","17481.11126063643","0.43348527131782943","0.10734362397119336","57.76609325068915"
"27","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","7.2105263157894735","42.17543859649123","0.9133333333333333","2.782641860465117","0.7812535617972962","15433.465498538499","0.38890077519379845","0.06994326417466849","43.31774473260628"
"29","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","7.9375","113.2625","0.8466666666666667","2.6155255813953504","0.6653930404067155","17013.033628752546","0.4239596899224806","0.08146714649062638","71.59092200012482"
"31","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","301","4300","6.65","29.81842105263159","0.8866666666666667","2.7253844961240294","0.7376381727740158","16015.851707960563","0.40200465116279066","0.09848212334247831","57.55331980750802"
"30","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","18.285714285714285","134.9047619047619","0.8533333333333334","2.7041209302325586","0.7213220426625186","16264.125464089246","0.40905891472868217","0.0819582978966621","51.117056407360494"
