"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size extraction rate mean x energy per capita"
"02/22/2023 12:43:43:574 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"11","600000","1","false","1500","2","9000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","16.25","238.91666666666666","0.9701492537313433","1.5222839291912535","2.020970618157263","3685.005146471022","0.09168344324887193","0.0042983874992322335","57.47344535348648"
"10","600000","1","false","1500","2","8500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.857142857142858","24.809523809523814","0.971830985915493","1.4936423190304622","1.5863708929696767","4418.2500036736155","0.10671470684572551","0.004256153217314862","14.633717374879092"
"9","600000","1","false","1500","2","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","10.714285714285714","10.238095238095239","1","1.459466666666666","1.3271696022502297","5615.688664076546","0.13285581395348836","0.0041618175582990415","25.499748111569062"
"8","600000","1","false","1500","2","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.75","52.5","0.975","1.4401802325581394","1.2794542835644167","5752.562895329314","0.13911337209302327","0.005785436492626884","42.58769958107779"
"4","600000","1","false","1500","2","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6.333333333333333","24.242424242424246","0.6972477064220184","1.486454021762321","1.6798389016073219","4359.040400351656","0.10666951141455089","0.0040794560381822555","26.897237462431786"
"6","600000","1","false","1500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","14.2","141.2","0.7717391304347826","1.4586147623862489","1.2776658358263853","5303.793767296862","0.12736097067745197","0.004258072497316156","57.65688611296928"
"5","600000","1","false","1500","2","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.5","116.3","0.81","1.4787674418604653","1.3854551248073874","5059.230354114817","0.12255116279069768","0.0051661021090534985","55.112741043095895"
"7","600000","1","false","1500","2","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","7.363636363636363","22.254545454545458","0.9418604651162791","1.4165657111952408","1.0995759370230254","5933.8626396707","0.14274743104380747","0.0055229492654799515","31.184546990972656"
"2","600000","1","false","1500","2","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","17.142857142857142","101.14285714285712","0.9022556390977443","1.5118657107885998","1.74076643888113","3935.645968123213","0.09802238153523343","0.004821834840444734","51.23321132141802"
"1","600000","1","false","1500","2","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","50","756","1","1.5342434108527132","2.402013398978305","2982.167443026364","0.07822635658914728","0.004372507858939187","66.67043555061436"
"16","600000","1","false","1500","3","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","14.142857142857142","37.142857142857146","0.99","2.0700325581395354","1.2853294771634407","7268.485309150054","0.18376976744186047","0.009277702546296297","41.724092193418905"
"3","600000","1","false","1500","2","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.3","29.56666666666667","0.775","1.4403158914728675","1.1328150904586305","5988.233437040679","0.14494961240310078","0.0048904231681527206","62.44540641805003"
"15","600000","1","false","1500","3","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","12.11111111111111","100.61111111111113","1","2.1157243439300193","1.4001799373722168","6738.742146384057","0.16300192020482185","0.0070853486694730725","51.0969186214463"
"14","600000","1","false","1500","3","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11","53.77777777777778","0.9166666666666666","2.1183972868217054","1.4288950730624292","6702.4508964971255","0.16430232558139535","0.008001363168724279","40.36837435472471"
"13","600000","1","false","1500","3","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","10.166666666666666","66.51515151515152","0.9172932330827067","2.128127294981641","1.4768606066027763","6348.174215095564","0.1588109809407239","0.007224397800055693","51.92766102435667"
"17","600000","1","false","1500","3","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.142857142857142","55.47619047619048","1","2.18562184024267","1.6018897807977206","6198.664177213135","0.15340495449949446","0.007431050389157269","26.29216672932145"
"18","600000","1","false","1500","3","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11.714285714285714","59.23809523809522","0.9534883720930233","2.1534532179556525","1.531117974606701","6371.216852334899","0.15402650081124933","0.008112433007943344","32.14693400875022"
"19","600000","1","false","1500","3","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","19.75","84.91666666666667","0.9875","2.1999127906976734","1.7441900832340866","5635.714805459249","0.13617151162790697","0.007424098186728394","51.496148668651585"
"22","600000","1","false","1500","3","9000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.571428571428571","9.285714285714286","1","2.1307532106907323","1.4776396371664438","6422.716480022179","0.1548143005900729","0.0074982318986344","37.82174621848944"
"12","600000","1","false","1500","3","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","15.777777777777779","127.94444444444443","0.9466666666666667","2.119182945736434","1.4477412670214342","6520.8658232633015","0.16565736434108527","0.0075906680098308185","55.87138231448007"
"20","600000","1","false","1500","3","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.4","32.3","0.8933333333333333","2.1386976744186055","1.3721605802786034","6969.178181975019","0.1678046511627907","0.006824388431641518","65.05141661348469"
"21","600000","1","false","1500","3","8500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.875","5.553571428571429","1","2.1341074353095313","1.3558880900127883","7143.304988440571","0.17069112348509663","0.009066357420931629","13.304101473186392"
"32","600000","1","false","1500","4","8500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","17.5","25","0.9859154929577465","2.9613298395021297","1.7944430068045572","7175.767773599138","0.1762364886996397","0.006771512261152652","51.12588505745492"
"29","600000","1","false","1500","4","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","7.9","15.655555555555557","0.9186046511627907","2.8649161709031903","1.4883139568342216","8399.692414562624","0.20460789616008654","0.0072445499170574554","19.188560707190145"
"26","600000","1","false","1500","4","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.25","144.5","0.9724770642201835","2.889010027736291","1.640807028811724","7722.905053608123","0.1944783443567314","0.00845214515611432","61.02139482024157"
"28","600000","1","false","1500","4","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6.538461538461538","19.269230769230763","0.9239130434782609","2.8750657229524785","1.5425668082642783","8155.261717231575","0.20037917087967647","0.008182129750775334","50.18485745645041"
"31","600000","1","false","1500","4","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11.166666666666666","28.56666666666667","0.8933333333333333","2.9229891472868212","1.6319867281750362","7813.23577066559","0.18954418604651163","0.007770220621856421","19.82440537847953"
"33","600000","1","false","1500","4","9000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6.75","5.928571428571429","0.8059701492537313","2.8391114196459557","1.4069353759698884","8798.312043475642","0.21185005206525512","0.008376227466064737","18.073078641864104"
"30","600000","1","false","1500","4","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6.454545454545454","15.272727272727272","0.8875","2.8628459302325577","1.4909403916273678","8503.56704041326","0.20480232558139536","0.008297050218621404","30.920659965247076"
"27","600000","1","false","1500","4","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.166666666666666","9.606060606060607","0.98","2.7419674418604654","1.231445835078982","9726.504597198567","0.23701860465116278","0.009483266675240059","21.852574464602128"
"25","600000","1","false","1500","4","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.916666666666666","30.62878787878788","0.8916666666666667","2.8073585271317816","1.4060346614844674","8767.183769113435","0.21925","0.008676378172153634","36.05662597322009"
"24","600000","1","false","1500","4","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","10.25","61.65909090909091","0.924812030075188","2.678648365098794","1.187355424434641","9883.601026353917","0.24848574925686306","0.011923273493662134","60.22240130830181"
"23","600000","1","false","1500","4","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.733333333333333","42.92380952380951","0.9733333333333334","2.5566031007751957","1.0596322941141465","10590.922323042649","0.2730558139534884","0.022403261602652033","47.20630437959402"
"38","600000","1","false","1500","5","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.714285714285714","9.238095238095237","0.68","3.3643604651162775","1.3799508070987252","10641.592060150255","0.26772558139534886","0.01559977987825789","29.174652196195247"
"37","600000","1","false","1500","5","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","7.666666666666667","19.515151515151516","0.8440366972477065","3.27925112011948","1.242919157229556","11420.333570176312","0.2868956688713463","0.01774620430934672","39.19399555261029"
"44","600000","1","false","1500","5","9000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11","50.8","0.9850746268656716","3.579434224227699","1.6477467046329193","9393.435917033432","0.22826796251301631","0.0075532583353807095","37.779205320533165"
"42","600000","1","false","1500","5","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.875","54.410714285714285","0.9466666666666667","3.604874418604653","1.7157078809019783","9116.525628943584","0.22189457364341084","0.00865273491083676","55.07074000610225"
"43","600000","1","false","1500","5","8500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8","19","0.7887323943661971","3.5543661971830987","1.594092363979094","9689.697170228003","0.234474287585981","0.009433237456287796","34.5352775217551"
"41","600000","1","false","1500","5","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6.4","24.488888888888894","0.8","3.583156976744186","1.6675662697754619","9323.637960833908","0.22738662790697675","0.009323813925325792","33.28402809005663"
"40","600000","1","false","1500","5","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","12.285714285714286","55.238095238095234","1","3.4638399134667375","1.5207103131776802","9915.825681684379","0.246460248783126","0.012563951743787286","57.37574476751876"
"39","600000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","5.384615384615385","5.756410256410256","0.7608695652173914","3.4762360970677455","1.5241081160575383","10003.061396193118","0.2473988877654196","0.012325013186243811","39.53262026602846"
"36","600000","1","false","1500","5","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.583333333333334","28.446969696969692","0.8583333333333333","3.200426356589148","1.1562933691304722","12061.609720264383","0.3038798449612403","0.02329646615655007","50.948371187497266"
"35","600000","1","false","1500","5","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.5","80.81818181818181","0.8571428571428571","2.962806434691379","0.9465339093283583","13569.915770000209","0.34994929183423673","0.033592415645595466","82.45679168757384"
"34","600000","1","false","1500","5","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.529411764705882","42.76470588235294","0.9666666666666667","2.7356217054263574","0.7413630787427387","15981.973702593206","0.40073178294573647","0.05939237854366709","52.4317294230529"
"55","600000","1","false","1500","6","9000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","16.75","176.25","1","4.154713641096841","1.7221398176653073","10560.33965644561","0.26034015966678237","0.011967723112830909","66.90832096832145"
"53","600000","1","false","1500","6","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.75","19.642857142857142","0.9333333333333333","4.052598449612403","1.5478221048467213","11347.968148239206","0.2760558139534884","0.014860343792866942","20.499883005933995"
"54","600000","1","false","1500","6","8500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.285714285714286","14.238095238095239","0.8169014084507042","4.110167048804454","1.6029008734973147","11084.32898524293","0.2704880445463479","0.01733894165748951","25.541973409525852"
"52","600000","1","false","1500","6","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","7.9","26.099999999999998","0.9875","4.023360465116279","1.4918365078518985","11673.739310305162","0.2864156976744186","0.01921063100137175","35.18044583283377"
"51","600000","1","false","1500","6","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","7.090909090909091","19.290909090909093","0.9069767441860465","3.9830827474310437","1.4599247143709366","11809.055333619512","0.29096268253109786","0.02013068335885412","22.549511079165352"
"50","600000","1","false","1500","6","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6.769230769230769","7.192307692307691","0.9565217391304348","3.8559732052578353","1.3293454265489197","12575.251699505874","0.3108392315470172","0.0220385473977903","27.804550416010542"
"49","600000","1","false","1500","6","6000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6","14.666666666666666","0.78","3.8398930232558155","1.3647853322814065","12216.539690536154","0.309346511627907","0.02859976851851851","49.670090717731846"
"48","600000","1","false","1500","6","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11.333333333333334","104.25","0.9357798165137615","3.6067527202901655","1.1349921938417669","13783.760224189831","0.3490185619799445","0.03831704723858244","65.60382432334441"
"47","600000","1","false","1500","6","5000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","19.833333333333332","250.96666666666664","0.9916666666666667","3.299077519379844","0.9062050400952368","15754.289986611997","0.39960658914728686","0.09095407825360079","76.28845986129073"
"46","600000","1","false","1500","6","4500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","18.142857142857142","173.80952380952382","0.9548872180451128","3.031070117153348","0.7246951219721435","18102.438870318765","0.45115229935303375","0.16894801996632527","45.724904543170524"
"66","600000","1","false","1500","7","9000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.428571428571429","18.952380952380953","0.8805970149253731","4.549288441513363","1.5617419033603654","12586.727220323952","0.30644567858382504","0.015258569549372478","35.35737475746165"
"62","600000","1","false","1500","7","7000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6.153846153846154","21.974358974358974","0.9302325581395349","4.305246078961599","1.3871515562636003","13490.767698067031","0.3387506760411033","0.05128295072096214","46.80457167139011"
"64","600000","1","false","1500","7","8000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","14.8","69.7","0.9866666666666667","4.456241860465116","1.5229501319705476","12712.709167388914","0.31875348837209305","0.026616833847736623","33.83238110008283"
"65","600000","1","false","1500","7","8500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","5.333333333333333","9.696969696969695","0.9014084507042254","4.426609891909595","1.4501938218064796","13222.003082466488","0.32301015394693744","0.02775987962238452","12.119419131383273"
"61","600000","1","false","1500","7","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","5.416666666666667","15.537878787878789","0.7065217391304348","4.187942366026291","1.3006516484058757","13977.622736980076","0.3545424671385238","0.05728361490390352","65.61403258965477"
"63","600000","1","false","1500","7","7500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.125","18.410714285714285","0.8125","4.41090988372093","1.4290399922031614","13358.667772959354","0.3283662790697674","0.02937504715363512","26.788782840702222"
"45","600000","1","false","1500","6","4000","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","5.043478260869565","11.588932806324108","0.7733333333333333","2.5892511627906964","0.5180251390871908","21583.189139337326","0.5293116279069767","0.22912357381687243","58.74083413563894"
"59","600000","1","false","1500","7","5500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","5.166666666666667","14.264705882352942","0.8532110091743119","3.7725688073394488","0.9760158635474335","16718.52940886213","0.4166161723917218","0.08410521965964438","48.26823384091716"
