"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size extraction rate mean x regrowth"
"02/22/2023 13:08:13:040 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"1","600000","1","false","500","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","18.4","164.8","1","1.52404701718908","2.4937433528256747","3448.273191354904","0.08481041456016178","0.005089610311549472","49.78381698257657"
"15","600000","1","false","900","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.142857142857142","99.47619047619047","1","1.4824241658240644","1.523927957760679","4544.870466935651","0.11190849342770476","0.00476784965445518","46.26314550912702"
"8","600000","1","false","700","2","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.142857142857142","55.142857142857146","1","1.487386248736097","1.740098000293379","4600.315087445403","0.11050303336703741","0.004417637230124647","26.252254494454327"
"9","600000","1","false","700","3","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","10.222222222222221","39.69444444444444","1","2.206653185035389","1.8547780218710928","5462.278103483428","0.13246208291203235","0.00752798046385758","27.908310258725653"
"16","600000","1","false","900","3","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","12.857142857142858","81.14285714285715","0.9782608695652174","2.167699696663296","1.614773404138452","6063.997868214652","0.14553589484327606","0.006690581760302977","52.72306693808484"
"2","600000","1","false","500","3","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","13.142857142857142","91.14285714285712","1","2.1367441860465117","1.766321483092835","6036.481643010138","0.14577856420626895","0.007920235106533667","32.820197756983134"
"10","600000","1","false","700","4","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","18.4","64.8","1","3.005308392315472","2.569775768816792","6661.651122085997","0.1660187057633974","0.008745368273617821","45.48251683555243"
"4","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","6","8.181818181818182","0.782608695652174","3.7551567239635992","2.068476543122044","7915.056868782484","0.1916304347826087","0.007362936450691835","19.847413736320316"
"11","600000","1","false","700","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.1","10.766666666666667","0.8804347826086957","3.6990242669362994","1.916529352475493","8404.596466850548","0.20493174924165822","0.007853422319511538","27.67765063741091"
"3","600000","1","false","500","4","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","9.222222222222221","68.69444444444444","0.9021739130434783","2.886779575328616","1.5575577804449823","8107.194776500724","0.19304600606673408","0.009027799211248288","58.37007113183628"
