"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size patch qual x clump"
"02/11/2023 18:05:09:420 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"15","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","151","4300","7","13.2","0.8369565217391305","2.7421385237613767","0.7269680729934259","16259.415393484258","0.39043983822042466","0.007455870580977516","62.20399214447298"
"16","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","201","4300","8.272727272727273","30.018181818181823","0.9891304347826086","2.8483265925176955","0.8100118047888935","15165.805228100946","0.36674418604651166","0.008752944539497225","54.066814330730466"
"14","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","101","4300","4.529411764705882","4.139705882352941","0.8369565217391305","2.694544994944388","0.6952604078904245","16714.703147322507","0.4026036400404449","0.006363767929564026","38.96343245301456"
"8","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","351","4300","7","14.727272727272727","0.9130434782608695","2.7214408493427698","0.7461622082017897","15705.003920878664","0.38169362992922146","0.009112372890200986","47.08842815294494"
"10","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","451","4300","4.5","11.911764705882353","0.8804347826086957","2.8134479271991917","0.8171652162850557","14831.8511280635","0.36077603640040445","0.00684161154537186","39.47373829739965"
"11","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","501","4300","5.4","14.542857142857144","0.8804347826086957","2.776294236602628","0.7809887288665349","15313.082714686056","0.3698837209302326","0.007619754158093279","39.73506184693647"
"13","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","51","4300","4.75","5","0.8260869565217391","2.54479777553084","0.6093990632279187","18012.648395702745","0.43356926188068756","0.006683155062772112","34.357408776425736"
"9","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","401","4300","6.583333333333333","30.265151515151516","0.8586956521739131","2.751736602628919","0.7605622458598829","15588.436139156483","0.3764509605662285","0.005583510625410032","44.2499587538497"
"7","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","301","4300","3.4444444444444446","4.614379084967318","0.6739130434782609","2.7365495449949444","0.7543780396826222","15628.994421324238","0.3788624873609707","0.006491605068736207","52.4881161920642"
"6","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","251","4300","3.6666666666666665","3.380952380952382","0.5978260869565217","2.6854347826086955","0.7183222600072137","16111.301857030774","0.39057886754297266","0.006131810252281268","67.13375827489583"
"5","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","201","4300","4.315789473684211","3.8947368421052624","0.8913043478260869","2.6001339737108187","0.6594022707911036","16981.942386800576","0.4088953488372093","0.005384621065560328","9.55365229267814"
"4","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","151","4300","3.235294117647059","3.3161764705882355","0.5978260869565217","2.5820146612740147","0.6485778654179105","17145.90068335475","0.4149140546006067","0.005259713322672513","78.69787524925015"
"12","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","1","4300","2.6666666666666665","0.9523809523809524","0.43478260869565216","2.398417593528818","0.5606776259688234","18459.508891178","0.45689838220424667","0.00441621237028091","74.68294572166988"
"3","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","101","4300","5.0625","5.529166666666667","0.8804347826086957","2.5278589484327605","0.611645945941171","17797.16308350791","0.428427704752275","0.004367366189911731","26.804697337562796"
"2","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","51","4300","8.5","41.611111111111114","0.9239130434782609","2.3737942366026297","0.5385908594798741","18982.18004017119","0.4574469160768453","0.004730986181934752","27.287729661580507"
"21","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","451","4300","6.333333333333333","33.151515151515156","0.8260869565217391","3.102856420626895","1.0395674756347237","12880.29393735381","0.3136830131445905","0.008480142821464783","46.89123386550679"
"19","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","351","4300","5.5","8.133333333333333","0.9565217391304348","3.002992922143579","0.9499270980388197","13645.238454634893","0.3324772497472194","0.009424434668918114","12.169373191168695"
"17","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","251","4300","6.384615384615385","19.58974358974359","0.9021739130434783","2.9442947421638017","0.8854756611597044","14349.763990770525","0.3469615773508595","0.008467164156154948","43.30376659825078"
"20","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","401","4300","6.384615384615385","28.589743589743588","0.9021739130434783","3.0311021233569257","0.974891121060712","13414.319125259168","0.32711577350859455","0.008949754353790182","67.55116364393811"
"1","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","10","1","true","1","4300","4.5625","10.129166666666666","0.7934782608695652","2.268614762386249","0.49397021296359334","19793.37093494428","0.4803715874620829","0.003644171074506472","64.20159549378054"
"18","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","301","4300","6.666666666666667","21.515151515151516","0.8695652173913043","2.9758240647118313","0.9286848414391398","13824.865412364854","0.3364914054600606","0.008927226844396735","39.403611568456306"
"22","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","501","4300","11.25","84.78571428571429","0.9782608695652174","3.1258746208291193","1.081961983705388","12495.7675357991","0.3062512639029323","0.008765350558388504","56.77178245831941"
"29","600000","1","false","1500","5","6500","5","20","70","50","10","false","false","7","50","10","1","true","301","4300","7.8","36.62222222222223","0.8478260869565217","3.2365824064711832","1.1880541779332432","11781.40691792029","0.28775783619818","0.011090205789273574","56.45242290808453"
"26","600000","1","false","1500","5","6500","5","20","70","50","10","false","false","7","50","10","1","true","151","4300","4.8","5.028571428571429","0.782608695652174","3.013071284125379","0.9218485675250964","14101.0790055251","0.33970677451971687","0.008300991624172482","38.21221358687403"
"28","600000","1","false","1500","5","6500","5","20","70","50","10","false","false","7","50","10","1","true","251","4300","3.473684210526316","4.152046783625732","0.717391304347826","3.092864004044489","1.0044973951880405","13293.338650506837","0.3239838220424672","0.00806213772775392","56.47698144209635"
"25","600000","1","false","1500","5","6500","5","20","70","50","10","false","false","7","50","10","1","true","101","4300","5.3076923076923075","20.06410256410257","0.75","2.9009074823053598","0.8311002672290159","15063.085396677314","0.36224721941354904","0.007574733153292184","67.81781038674517"
"27","600000","1","false","1500","5","6500","5","20","70","50","10","false","false","7","50","10","1","true","201","4300","11.375","59.410714285714285","0.9891304347826086","3.0549165824064706","0.96408854471821","13677.06405273646","0.33014408493427705","0.007172509384132525","47.398113106596114"
