"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size patch qual x speed"
"02/10/2023 13:58:36:009 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"15","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","16","1","true","250","4300","5.923076923076923","17.576923076923077","0.8369565217391305","3.015237613751263","0.6075263107985077","21404.90801077262","0.3298533872598584","0.007641131482226988","53.90828268863349"
"12","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","10","1","true","250","4300","3.1578947368421053","1.6959064327485376","0.6521739130434783","2.928837209302325","0.8844852956241886","14278.885591466258","0.34853640040444894","0.006706262207759288","66.60587712292302"
"16","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","18","1","true","250","4300","4.25","10.733333333333333","0.7391304347826086","3.0628993933265933","0.5682721637541558","23272.32176211487","0.31948432760364004","0.007972050987430661","37.99263489336451"
"14","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","14","1","true","250","4300","4.235294117647059","6.441176470588234","0.782608695652174","2.976913549039434","0.6613035100007736","19399.166431282414","0.33979271991911025","0.00819221443162164","42.17820516669974"
"13","600000","1","false","1500","5","6500","5","20","70","37.5","10","false","false","7","50","12","1","true","250","4300","6.416666666666667","13.90151515151515","0.8369565217391305","2.983948432760364","0.7800777870906365","16498.48815599703","0.33575581395348836","0.006804428434573866","33.82364534808822"
"6","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","20","1","true","250","4300","7.666666666666667","20.060606060606062","1","2.8245424671385244","0.4191493275214198","29054.04088803758","0.3586324570273003","0.007068295191074729","40.4400014716351"
"5","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","18","1","true","250","4300","4.875","10.516666666666667","0.8478260869565217","2.7351516683518704","0.4287805129435164","27521.52227248853","0.37802072800808895","0.006489842398759469","51.141582677841136"
"2","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","12","1","true","250","4300","5.666666666666667","29.238095238095234","0.9239130434782609","2.6807912032355916","0.5984719804083357","19300.484551719477","0.3905434782608696","0.006315648623412061","19.53510853107968"
"8","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","24","1","true","250","4300","4.4375","9.195833333333333","0.7717391304347826","2.75105915065723","0.3236575109021903","36752.53423383614","0.37579373104145597","0.008087199279089883","53.69534609163719"
"9","600000","1","false","1500","5","6500","5","20","70","25","10","false","false","7","50","26","1","true","250","4300","4.928571428571429","9.763736263736265","0.75","2.789254297269969","0.31480104426387745","38348.81590788621","0.36617542972699696","0.007182577523930933","87.2431142618598"
