"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size regrowth x clump"
"02/10/2023 21:26:07:627 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"10","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","451","4300","28.5","840.5","0.6195652173913043","4.0408417593528805","3.23598202871801","5451.021779933625","0.13379423660262893","0.005052693721297786","71.37831492222006"
"9","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","401","4300","17.2","238.20000000000002","0.9347826086956522","3.896736602628917","2.810266159744815","6121.823021346893","0.1539787664307381","0.006454857616523526","57.68552780380523"
"11","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","501","4300","15.333333333333334","37.86666666666667","1","3.927373609706775","2.8191482409262454","6188.880002748787","0.1539029322548028","0.005632042991814279","42.850438249064624"
"7","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","301","4300","13","24","0.9891304347826086","3.8944868554095042","2.8259867736273585","6527.535178507254","0.1612917087967644","0.006091869445935468","24.583784961157093"
"8","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","351","4300","30.666666666666668","152.33333333333331","1","3.820867037411528","2.2891930366296203","7313.277343581871","0.1794767441860465","0.007924227090415695","46.86867698559308"
"6","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","251","4300","6.833333333333333","20.51515151515152","0.8913043478260869","3.718377148634986","1.9019244730086087","8504.886426708426","0.205525783619818","0.006433280401980081","38.37096369028803"
"15","600000","1","false","700","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","6.214285714285714","12.489010989010989","0.9456521739130435","3.654289686552073","1.7734394285454294","8956.517378368297","0.21601365015166835","0.007914671490129421","26.812528757088838"
"16","600000","1","false","700","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","6.916666666666667","35.90151515151515","0.9021739130434783","3.6316531850353893","1.746283238373191","9107.877811088538","0.21874620829120323","0.009494901862661777","35.922227002182304"
"4","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","151","4300","7.3","23.344444444444445","0.7934782608695652","3.545300808897875","1.5814675669802312","9770.638249685944","0.23393073811931245","0.008627342538542975","59.485793498673374"
"5","600000","1","false","500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","201","4300","4.647058823529412","19.74264705882353","0.8586956521739131","3.5950328614762386","1.629242577002413","9583.94340374888","0.2290495449949444","0.008407992634341267","72.50963657822457"
