"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size tgtneighbor x abundance"
"02/09/2023 15:52:13:310 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"1","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","3","50","10","1","true","250","4300","15.5","112.5","1","3.719392348087022","2.476359437010479","6539.7768643712825","0.1961815453863466","0.008618300311960704","25.693853943192412"
"8","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","10","50","10","1","true","250","4300","6.666666666666667","30.333333333333332","0.6451612903225806","3.657869467366842","2.427028230181212","6703.319208910517","0.2013728432108027","0.009955653458117617","7.705088998399325"
"3","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","5","50","10","1","true","250","4300","15.5","24.5","1","3.6476894223555894","2.124717472718136","7601.705079218901","0.2120780195048762","0.01725811014867915","22.80444563091564"
"2","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","4","50","10","1","true","250","4300","15.5","40.5","1","3.6010727681920485","1.908546029040966","8206.884322292957","0.2229707426856714","0.009062036069073853","37.57064914767792"
"4","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","6","50","10","1","true","250","4300","7.75","29.583333333333332","1","3.4579669917479374","1.8521577498789115","8274.690436979627","0.24056264066016506","0.01886274420328333","10.721729064083046"
"5","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","15.5","144.5","1","3.4519879969992493","1.6134527254355675","9671.756114270103","0.24822955738934735","0.014426742472012036","34.358898505380054"
"9","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","11","50","10","1","true","250","4300","15.5","0.5","1","3.270112528132033","1.4104930201538728","10127.840607112637","0.2803225806451613","0.02261263911013762","7.543697429087819"
"7","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","9","50","10","1","true","250","4300","7.75","58.916666666666664","1","3.3829107276819212","1.3534059726245586","10950.718932702714","0.2711027756939235","0.015228712415372362","45.06146827680649"
"6","200000","1","false","1500","5","6500","5","20","70","87","10","false","false","8","50","10","1","true","250","4300","6.2","14.7","1","3.1901125281320337","1.1281914142001295","12384.226361340783","0.31152288072018003","0.01911644320545157","19.042296026658587"
"11","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","4","50","10","1","true","250","4300","23","50","1","3.683083923154702","2.13089295242161","7525.122469429687","0.19942871587462085","0.008905051123486609","58.33721575804288"
"10","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","3","50","10","1","true","250","4300","6.428571428571429","9.619047619047619","0.9782608695652174","3.6173255813953493","2.1747650053608107","7248.405693025486","0.21041456016177956","0.01859794024348423","16.868468907665207"
"12","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","5","50","10","1","true","250","4300","7.333333333333333","39.06666666666668","0.9565217391304348","3.537022244691608","1.646854264331055","9347.310389586955","0.23632962588473205","0.009421782276942804","43.93789785889722"
"15","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","8","50","10","1","true","250","4300","15.333333333333334","24.333333333333336","1","3.3676592517694637","1.3861217452395342","10530.248574086141","0.2698634984833165","0.011934681964573268","36.762935598078855"
"14","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","11.5","76.33333333333333","1","3.3729271991911025","1.3462138163475053","10911.881783965995","0.27276036400404446","0.014560269521232185","42.701246958328596"
"13","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","6","50","10","1","true","250","4300","6.571428571428571","18.285714285714285","1","3.31546511627907","1.3470528883644037","10807.109618785147","0.28306875631951467","0.02991457131195205","13.780946556264086"
"16","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","9","50","10","1","true","250","4300","11.5","29.666666666666668","1","3.0689585439838223","1.0353271068445766","12896.569221858594","0.3299443882709808","0.01467567711129003","15.04272919122959"
"17","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","10","50","10","1","true","250","4300","11.5","28.333333333333332","1","3.389828109201214","1.3234065243022946","11178.486796438903","0.2730990899898888","0.011838556110962007","16.563155078563693"
"18","300000","1","false","1500","5","6500","5","20","70","87","10","false","false","11","50","10","1","true","250","4300","11.5","0.3333333333333333","1","3.1500859453993932","1.1356259202632082","12183.62011058646","0.3115217391304348","0.026407057948649133","10.314410850340495"
"19","400000","1","false","1500","5","6500","5","20","70","87","10","false","false","3","50","10","1","true","250","4300","5.444444444444445","16.77777777777778","0.7903225806451613","3.564549887471869","1.940754394131639","8045.283507666214","0.22328957239309827","0.021521005492499665","71.29489254558968"
"20","400000","1","false","1500","5","6500","5","20","70","87","10","false","false","4","50","10","1","true","250","4300","6.875","17.267857142857142","0.8870967741935484","3.577006751687923","1.9226716107801753","8266.276027838405","0.2234808702175544","0.01664965021958936","51.88721679165391"
"22","400000","1","false","1500","5","6500","5","20","70","87","10","false","false","6","50","10","1","true","250","4300","12.2","53.2","0.9838709677419355","3.624707426856715","1.8531700481178799","8560.392421256927","0.21497374343585895","0.009067779202066462","46.58000356880685"
"21","400000","1","false","1500","5","6500","5","20","70","87","10","false","false","5","50","10","1","true","250","4300","12.4","53.3","1","3.466976744186046","1.695933033771554","8869.186493144804","0.2381132783195799","0.016083765805455997","47.179018365860195"
"23","400000","1","false","1500","5","6500","5","20","70","87","10","false","false","7","50","10","1","true","250","4300","8.666666666666666","79.46666666666667","0.8387096774193549","3.3993285821455377","1.555111290669991","9526.881631465276","0.25229557389347335","0.018149823070157976","32.930611250719394"
"26","400000","1","false","1500","5","6500","5","20","70","87","10","false","false","10","50","10","1","true","250","4300","12.4","16.8","1","3.3186796699174796","1.2340092820281103","11671.872634054615","0.28535258814703673","0.01116454993860348","17.898866491707427"
"24","400000","1","false","1500","5","6500","5","20","70","87","10","false","false","8","50","10","1","true","250","4300","7.5","11.5","0.7258064516129032","3.3223105776444117","1.27702123858598","11586.387537260724","0.28262190547636906","0.012601739498982259","21.658567319866005"
