"BehaviorSpace results (NetLogo 6.2.2)"
"basemodelprimatesocialgroups.nlogo"
"group size tgtneighbor x tgtdist"
"02/09/2023 13:41:56:629 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-140","140","-140","140"
"[run number]","abundance","extraction-rate-sd","resource-tests-on?","patch-regrowth-interval","extraction-rate-mean","energy-per-capita","qual-sd","tgt-dist","other-primate-detection-radius","qual-mean","movement-noise","go-tests-on?","move-tests-on?","tgt-neighbor","resource-detection-radius","max-move","regrowth-rate","group-recog-module?","clump-size","[step]","mean-group-size","var-group-size","percent-grouped","foraging-efficiency-time","foraging-efficiency-dist","mean-distance-traveled","mean-percent-time-moving","var-energy-intake-monthly","mean-inter-indiv-dist"
"10","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","3","50","10","1","true","250","4300","8.272727272727273","34.218181818181826","0.9891304347826086","3.396003538928211","1.3293877791370914","11324.290320892187","0.2696663296258847","0.027362286457401443","48.24506072134102"
"11","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","4","50","10","1","true","250","4300","13.142857142857142","76.14285714285715","1","3.2918554095045494","1.1502748574418178","12509.65516716254","0.2920955510616785","0.03412518847475695","56.311003329748644"
"12","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","5","50","10","1","true","250","4300","15.333333333333334","38.266666666666666","1","3.187800808897876","1.042953721318158","13404.6193997512","0.3126617795753286","0.034415672805958135","37.9661816133493"
"14","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","7","50","10","1","true","250","4300","13.142857142857142","21.80952380952381","1","3.193139534883721","1.0513310243261345","13481.539731215815","0.31433013144590494","0.031854317865822726","9.131293675289335"
"15","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","8","50","10","1","true","250","4300","16.2","57.7","0.8804347826086957","2.986193124368049","0.858278742905323","15356.982468595947","0.3567391304347826","0.03521635783831336","24.9022582732241"
"1","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","3","50","10","1","true","250","4300","8.363636363636363","25.054545454545455","1","3.0216734074823064","0.9233151650709083","15217.63446406289","0.3538827098078867","0.08033066207058508","23.1980096714303"
"13","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","6","50","10","1","true","250","4300","14.6","76.3","0.7934782608695652","3.029034378159758","0.8944201610963102","14844.458914826528","0.3451668351870576","0.03374574895069183","38.74610275646956"
"16","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","9","50","10","1","true","250","4300","15.333333333333334","26.26666666666667","1","2.8209529828109208","0.7560798127277778","16741.59425756626","0.38919362992922146","0.03258582078077473","5.670806751615147"
"2","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","4","50","10","1","true","250","4300","10.142857142857142","36.476190476190474","0.7717391304347826","2.8119615773508597","0.7520706306757979","16973.34689714119","0.39449191102123354","0.08659418752236536","29.698209940519547"
"6","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","8","50","10","1","true","250","4300","18.4","54.8","1","2.0810844287158754","0.40738612445995764","23576.80776156863","0.5479878665318504","0.10602137126684856","7.524895558862245"
"19","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","3","50","10","1","true","250","4300","6.428571428571429","27.18681318681319","0.9782608695652174","3.657153690596562","1.8656903375013432","8504.976575372875","0.21062942366026288","0.011746295504189775","38.42323530579244"
"7","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","9","50","10","1","true","250","4300","18.4","10.8","1","2.1605535894843273","0.4295370509951718","22904.11050259023","0.5321991911021233","0.03989808431368163","6.934647091919073"
"3","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","5","50","10","1","true","250","4300","13.142857142857142","27.14285714285714","1","2.216966632962589","0.4663306449019373","22509.313208641004","0.5231294236602629","0.09897336518533428","12.74557232219544"
"4","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","6","50","10","1","true","250","4300","23","32.666666666666664","1","2.1108543983822035","0.40174643670556287","23415.221459739878","0.5443250758341759","0.13017868734903384","12.608543128348149"
"20","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","4","50","10","1","true","250","4300","10.857142857142858","64.14285714285714","0.8260869565217391","3.4027628918099073","1.4127210518157465","10492.56183765906","0.2623179979777553","0.030750379978156484","60.679854828004515"
"9","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","11","50","10","1","true","250","4300","15.333333333333334","46.26666666666667","1","1.926605156723964","0.3593827939576477","25248.83008507819","0.5867264914054601","0.0930306186445101","6.578527993066606"
"21","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","5","50","10","1","true","250","4300","11.125","83.26785714285714","0.967391304347826","3.4567290192113265","1.415383361960057","10666.345508364899","0.25494944388270985","0.014886563357338818","71.02610694661999"
"17","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","10","50","10","1","true","250","4300","18.4","53.300000000000004","1","2.870887259858443","0.7744099458690666","16334.206634662076","0.38002780586450957","0.029658260086777605","13.964483097151366"
"23","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","7","50","10","1","true","250","4300","9.666666666666666","40.5","0.9456521739130435","3.3639509605662283","1.2708359923894128","11655.921418413753","0.2737815975733064","0.015729639600852857","45.14171298500711"
"22","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","6","50","10","1","true","250","4300","10.166666666666666","51.36666666666666","0.6630434782608695","3.3273129423660275","1.2313697264602326","11808.628074884673","0.28452982810920124","0.02441752400548696","29.048884347755585"
"24","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","8","50","10","1","true","250","4300","7.076923076923077","23.076923076923077","1","3.3451086956521756","1.2221808339392823","12008.505305916988","0.2821410515672397","0.013207546585182205","24.950902050587167"
"25","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","9","50","10","1","true","250","4300","13.333333333333334","15.466666666666669","0.8695652173913043","3.2674772497472193","1.1220370329176328","12661.790408480021","0.29658998988877655","0.01714556378414446","8.544127691181771"
"8","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","10","50","10","1","true","250","4300","30.666666666666668","520.3333333333334","1","1.6930586450960574","0.3131642290355225","27208.991608650642","0.6322143579373105","0.07271493996764476","8.113897746955566"
"5","600000","1","false","1500","5","6500","5","1","70","87","10","false","false","7","50","10","1","true","250","4300","30.666666666666668","165.33333333333331","1","1.9234984833164812","0.3585647406633981","25222.457307382527","0.585927704752275","0.13633651107830855","8.288253920731695"
"18","600000","1","false","1500","5","6500","5","5","70","87","10","false","false","11","50","10","1","true","250","4300","23","90","1","2.666046511627907","0.634062259849953","18243.70526384553","0.4240343781597573","0.038709777995840036","33.18686794914825"
"28","600000","1","false","1500","5","6500","5","13","70","87","10","false","false","3","50","10","1","true","250","4300","6.833333333333333","36.15151515151515","0.8913043478260869","3.4741759352881703","1.562271955362072","9638.80195906868","0.24701466127401414","0.01352078417613467","73.82457497551536"
"29","600000","1","false","1500","5","6500","5","13","70","87","10","false","false","4","50","10","1","true","250","4300","11.375","45.410714285714285","0.9891304347826086","3.5713144590495447","1.6991645533630972","9102.526218690939","0.22761375126390293","0.010531537488071807","52.13827009319438"
"30","600000","1","false","1500","5","6500","5","13","70","87","10","false","false","5","50","10","1","true","250","4300","4.722222222222222","9.271241830065362","0.9239130434782609","3.5242568250758324","1.5547045637211776","9809.335440620369","0.24102628918099087","0.010552609152278281","31.750332190174667"
"26","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","10","50","10","1","true","250","4300","13.142857142857142","23.80952380952381","1","3.1972800808897897","1.052512843565511","13234.246322947847","0.31149140546006066","0.020744822652009897","10.429262615301857"
"27","600000","1","false","1500","5","6500","5","9","70","87","10","false","false","11","50","10","1","true","250","4300","15.333333333333334","7.466666666666666","1","3.1791127401415586","1.0223286777554847","13543.764137780188","0.3166759352881699","0.012223432048443372","9.307933923553223"
